Load,Vehicle,Carrier,Net Revenue,Gross revenue,Actual Delivery Date,Carrier Assigned By
265447,403471,CBS LOGISTICS INC,0,540,4/24/2026 00:14,Illia Kovanko
265312,403407,GLOBEKS CORP,100,475,4/24/2026 00:14,Illia Kovanko
265556,403693,GLOBEKS CORP,125,500,4/24/2026 00:17,Illia Kovanko
265133,403074,"DIAMOND LOGISTIC SERVICES, LLC",70,495,4/24/2026 01:41,Tyson Artis
259377,390973,BUMBLE AUTO BROKERS LLC,-37.5,75,4/24/2026 05:27,Rodrigo Herrera
259377,394397,BUMBLE AUTO BROKERS LLC,112.5,225,4/24/2026 05:27,Rodrigo Herrera
265980,404715,READY TRANSPORTATION LLC,50,150,4/24/2026 06:56,Rodrigo Herrera
265980,404716,READY TRANSPORTATION LLC,50,150,4/24/2026 06:56,Rodrigo Herrera
265980,404717,READY TRANSPORTATION LLC,50,150,4/24/2026 06:56,Rodrigo Herrera
263848,400651,GEORGE DEALER INC,-50,450,4/24/2026 07:40,Rodrigo Herrera
249576,372823,MARTINS AUTO SERVICE LLC,-600,500,4/24/2026 08:05,Ryan Glover
259034,390644,MARTINS AUTO SERVICE LLC,110,510,4/24/2026 08:06,Tyson Artis
261842,395913,JONES HAULING,45,520,4/24/2026 08:30,Ryan Glover
265948,404562,BIG MAC TRANSPORTS LLC,50,350,4/24/2026 08:44,Tyson Artis
264212,401240,DEZ ENTERPRISES LLC,-25,375,4/24/2026 08:46,Tyson Artis
265494,403449,PARRA AUTO TRANSPORT CORP,190,415,4/24/2026 08:48,Rodrigo Herrera
265494,403453,PARRA AUTO TRANSPORT CORP,170,395,4/24/2026 08:48,Rodrigo Herrera
261156,395804,LEMBERG TRANS LLC,22,625,4/24/2026 08:49,Liza Kolodii
264609,402031,TAD LOGISTIC LLC,-39.26,675,4/24/2026 08:51,Illia Kovanko
264609,402039,TAD LOGISTIC LLC,-39.29,675,4/24/2026 08:51,Illia Kovanko
264609,402040,TAD LOGISTIC LLC,-39.29,675,4/24/2026 08:51,Illia Kovanko
264609,402046,TAD LOGISTIC LLC,-39.29,675,4/24/2026 08:51,Illia Kovanko
264609,402049,TAD LOGISTIC LLC,-39.29,675,4/24/2026 08:51,Illia Kovanko
264609,402050,TAD LOGISTIC LLC,-39.29,675,4/24/2026 08:51,Illia Kovanko
264609,402051,TAD LOGISTIC LLC,-39.29,675,4/24/2026 08:51,Illia Kovanko
265987,404561,BCB HAULING & TRANSPORTING LLC,100,350,4/24/2026 09:11,Rodrigo Herrera
266250,405255,AMERICAN TRANSPORT LOGISTICS LLC,85,360,4/24/2026 09:16,Illia Kovanko
266250,405256,AMERICAN TRANSPORT LOGISTICS LLC,85,360,4/24/2026 09:16,Illia Kovanko
266250,405275,AMERICAN TRANSPORT LOGISTICS LLC,83,358,4/24/2026 09:16,Illia Kovanko
263073,399228,VA CARRIER INC,-10,690,4/24/2026 09:47,Liza Kolodii
263073,403086,VA CARRIER INC,90,690,4/24/2026 09:47,Liza Kolodii
263073,403088,VA CARRIER INC,90,690,4/24/2026 09:47,Liza Kolodii
264560,398403,2GO HAULER LLC,0,200,4/24/2026 09:55,Rodrigo Herrera
264017,400911,FREEMAN LOGISTICAL SERVICES LLC,30,170,4/24/2026 09:58,Tyson Artis
264017,400912,FREEMAN LOGISTICAL SERVICES LLC,30,170,4/24/2026 09:58,Tyson Artis
264017,400946,FREEMAN LOGISTICAL SERVICES LLC,30,170,4/24/2026 09:58,Tyson Artis
261885,396442,LADA TRANS INC,-95,530,4/24/2026 10:04,Liza Kolodii
261885,396462,LADA TRANS INC,-95,530,4/24/2026 10:04,Liza Kolodii
261885,396737,LADA TRANS INC,305,930,4/24/2026 10:04,Liza Kolodii
261885,396738,LADA TRANS INC,-95,530,4/24/2026 10:04,Liza Kolodii
264321,401593,DELTA EXPRESS INC,25,350,4/24/2026 10:05,Liza Kolodii
264321,401595,DELTA EXPRESS INC,25,350,4/24/2026 10:05,Liza Kolodii
264321,401597,DELTA EXPRESS INC,25,350,4/24/2026 10:05,Liza Kolodii
264321,401598,DELTA EXPRESS INC,25,350,4/24/2026 10:05,Liza Kolodii
262363,395103,BUMBLE AUTO BROKERS LLC,-25,195,4/24/2026 10:06,Rodrigo Herrera
262363,398673,BUMBLE AUTO BROKERS LLC,-25,195,4/24/2026 10:06,Rodrigo Herrera
264569,401931,Z BROTHERS EXPEDITED LLC,14.42,643,4/24/2026 10:10,Illia Kovanko
264569,401932,Z BROTHERS EXPEDITED LLC,14.43,643,4/24/2026 10:10,Illia Kovanko
264569,401933,Z BROTHERS EXPEDITED LLC,14.43,643,4/24/2026 10:10,Illia Kovanko
264569,401935,Z BROTHERS EXPEDITED LLC,14.43,643,4/24/2026 10:10,Illia Kovanko
264569,401936,Z BROTHERS EXPEDITED LLC,14.43,643,4/24/2026 10:10,Illia Kovanko
264569,401938,Z BROTHERS EXPEDITED LLC,14.43,643,4/24/2026 10:10,Illia Kovanko
264569,401940,Z BROTHERS EXPEDITED LLC,14.43,643,4/24/2026 10:10,Illia Kovanko
263975,391097,Y & J AUTO LLC,-50,400,4/24/2026 10:12,Illia Kovanko
266043,404649,UA POINT LLC,0,175,4/24/2026 10:13,Illia Kovanko
263022,399362,VA CARRIER INC,-35,415,4/24/2026 10:13,Illia Kovanko
263022,399363,VA CARRIER INC,-35,415,4/24/2026 10:13,Illia Kovanko
264671,402179,WHITE FLAG TRANSPORT LLC,390,1340,4/24/2026 10:14,Illia Kovanko
266541,404714,2FAST TRANSPORT LLC,50,150,4/24/2026 10:22,Rodrigo Herrera
264520,401937,A&S PRIME AUTO MOVERS LLC,112.5,450,4/24/2026 10:26,Tyson Artis
264520,401999,A&S PRIME AUTO MOVERS LLC,2.5,340,4/24/2026 10:26,Tyson Artis
264226,401486,FREEMAN LOGISTICAL SERVICES LLC,-20,150,4/24/2026 10:30,Tyson Artis
264226,401487,FREEMAN LOGISTICAL SERVICES LLC,-20,150,4/24/2026 10:30,Tyson Artis
264226,401489,FREEMAN LOGISTICAL SERVICES LLC,-20,150,4/24/2026 10:30,Tyson Artis
264527,402029,1611 TRANSPORTATION INC,-135,415,4/24/2026 10:45,Tyson Artis
265606,403752,MAV TRANSPORTATION LLC,20,85,4/24/2026 10:46,Liza Kolodii
265606,403759,MAV TRANSPORTATION LLC,20,85,4/24/2026 10:46,Liza Kolodii
265606,403764,MAV TRANSPORTATION LLC,20,85,4/24/2026 10:46,Liza Kolodii
265606,403765,MAV TRANSPORTATION LLC,20,85,4/24/2026 10:46,Liza Kolodii
265606,403769,MAV TRANSPORTATION LLC,20,85,4/24/2026 10:46,Liza Kolodii
261801,396505,VG AUTO INC,-55,1245,4/24/2026 10:51,Liza Kolodii
265032,402955,A-Z HAULING INC,131.66,515,4/24/2026 10:55,Illia Kovanko
265032,402960,A-Z HAULING INC,51.67,435,4/24/2026 10:55,Illia Kovanko
265032,402961,A-Z HAULING INC,51.67,435,4/24/2026 10:55,Illia Kovanko
264983,402609,KRAKEN LOGISTICS LLC,175,1175,4/24/2026 10:56,Liza Kolodii
265850,404339,OB STAR TRUCKING LLC,225,725,4/24/2026 10:57,Illia Kovanko
249373,373071,ALIEN CORPORATION,-255,1645,4/24/2026 10:57,Illia Kovanko
262739,398995,LT LOGISTIC SERVICES LLC,400,4500,4/24/2026 11:01,Liza Kolodii
265144,403068,VVS GROUP INC,215,790,4/24/2026 11:02,Illia Kovanko
262298,398052,VG AUTO INC,75,1275,4/24/2026 11:09,Illia Kovanko
263999,400805,LG EXPRESS INC,90,190,4/24/2026 11:13,Liza Kolodii
263999,400809,LG EXPRESS INC,90,190,4/24/2026 11:13,Liza Kolodii
263999,400842,LG EXPRESS INC,90,190,4/24/2026 11:13,Liza Kolodii
265613,403949,JRO TRANSPORT LLC,25,150,4/24/2026 11:14,Rodrigo Herrera
265613,403957,JRO TRANSPORT LLC,25,150,4/24/2026 11:14,Rodrigo Herrera
265613,405054,JRO TRANSPORT LLC,25,150,4/24/2026 11:14,Rodrigo Herrera
265450,401194,SOTO TOWING & TRANSPORTS LLC,125,400,4/24/2026 11:22,Tyson Artis
265594,403816,LG EXPRESS INC,45,125,4/24/2026 11:22,Liza Kolodii
265594,403824,LG EXPRESS INC,45,125,4/24/2026 11:22,Liza Kolodii
265594,403826,LG EXPRESS INC,45,125,4/24/2026 11:22,Liza Kolodii
263998,400833,LG EXPRESS INC,45,125,4/24/2026 11:23,Liza Kolodii
263998,400837,LG EXPRESS INC,45,125,4/24/2026 11:23,Liza Kolodii
266408,404821,LG EXPRESS INC,45,125,4/24/2026 11:24,Liza Kolodii
266408,404858,LG EXPRESS INC,45,125,4/24/2026 11:24,Liza Kolodii
266542,405478,READY TRANSPORTATION LLC,50,150,4/24/2026 11:25,Rodrigo Herrera
261672,397110,CRC TRANSPORT LLC,-183.35,400,4/24/2026 11:25,Illia Kovanko
261672,397111,CRC TRANSPORT LLC,-183.33,400,4/24/2026 11:25,Illia Kovanko
261672,397113,CRC TRANSPORT LLC,-183.33,400,4/24/2026 11:25,Illia Kovanko
261672,397114,CRC TRANSPORT LLC,-183.33,400,4/24/2026 11:25,Illia Kovanko
261672,397115,CRC TRANSPORT LLC,-183.33,400,4/24/2026 11:25,Illia Kovanko
261672,397116,CRC TRANSPORT LLC,-183.33,400,4/24/2026 11:25,Illia Kovanko
261607,396424,Z BROTHERS EXPEDITED LLC,-35,265,4/24/2026 11:25,Illia Kovanko
261607,396427,Z BROTHERS EXPEDITED LLC,-35,265,4/24/2026 11:25,Illia Kovanko
261607,397073,Z BROTHERS EXPEDITED LLC,100,400,4/24/2026 11:25,Illia Kovanko
265466,403460,FREEMAN LOGISTICAL SERVICES LLC,30,210,4/24/2026 11:30,Tyson Artis
265466,403461,FREEMAN LOGISTICAL SERVICES LLC,30,210,4/24/2026 11:30,Tyson Artis
265466,403465,FREEMAN LOGISTICAL SERVICES LLC,30,210,4/24/2026 11:30,Tyson Artis
265466,403467,FREEMAN LOGISTICAL SERVICES LLC,30,210,4/24/2026 11:30,Tyson Artis
265567,403792,BLACK PROOF INC,15,85,4/24/2026 11:30,Liza Kolodii
265567,403794,BLACK PROOF INC,15,85,4/24/2026 11:30,Liza Kolodii
265567,403829,BLACK PROOF INC,15,85,4/24/2026 11:30,Liza Kolodii
265567,404040,BLACK PROOF INC,15,85,4/24/2026 11:30,Liza Kolodii
265567,405368,BLACK PROOF INC,15,85,4/24/2026 11:30,Liza Kolodii
265567,405401,BLACK PROOF INC,15,85,4/24/2026 11:30,Liza Kolodii
265567,406025,BLACK PROOF INC,15,85,4/24/2026 11:30,Liza Kolodii
265994,403209,AN CAR TRANSPORT LLC,25,195,4/24/2026 11:42,Tyson Artis
265354,403457,AMD AUTO TRANSPORT LLC,85,250,4/24/2026 11:50,Rodrigo Herrera
265354,403459,AMD AUTO TRANSPORT LLC,135,300,4/24/2026 11:50,Rodrigo Herrera
265354,403464,AMD AUTO TRANSPORT LLC,85,250,4/24/2026 11:50,Rodrigo Herrera
263316,398526,L GUZMAN TRANSPORTATION LLC,100,450,4/24/2026 11:55,Tyson Artis
262417,398159,ALGA FREIGHT COMPANY,-150,650,4/24/2026 11:55,Illia Kovanko
264526,401908,CRC TRANSPORT LLC,-62.35,771,4/24/2026 11:55,Illia Kovanko
264526,401909,CRC TRANSPORT LLC,-62.33,771,4/24/2026 11:55,Illia Kovanko
264526,401910,CRC TRANSPORT LLC,-62.33,771,4/24/2026 11:55,Illia Kovanko
264526,401912,CRC TRANSPORT LLC,-62.33,771,4/24/2026 11:55,Illia Kovanko
264526,401913,CRC TRANSPORT LLC,-62.33,771,4/24/2026 11:55,Illia Kovanko
264526,401915,CRC TRANSPORT LLC,-62.33,771,4/24/2026 11:55,Illia Kovanko
261303,395707,KHAN TRANS INC,-410,1090,4/24/2026 11:57,Tyson Artis
263417,398527,L GUZMAN TRANSPORTATION LLC,150,450,4/24/2026 11:58,Tyson Artis
263243,399843,HYPER EXPRESS LOGISTICS LLC,-80,270,4/24/2026 12:05,Tyson Artis
265209,403093,BY GRACE TOWING LLC,-25,250,4/24/2026 12:12,Tyson Artis
260550,394584,D & L AUTO TRANS LLC,82.16,225,4/24/2026 12:19,Rodrigo Herrera
260550,394585,D & L AUTO TRANS LLC,82.14,225,4/24/2026 12:19,Rodrigo Herrera
260550,394586,D & L AUTO TRANS LLC,82.14,225,4/24/2026 12:19,Rodrigo Herrera
260550,394587,D & L AUTO TRANS LLC,82.14,225,4/24/2026 12:19,Rodrigo Herrera
260550,394588,D & L AUTO TRANS LLC,82.14,225,4/24/2026 12:19,Rodrigo Herrera
260550,394589,D & L AUTO TRANS LLC,82.14,225,4/24/2026 12:19,Rodrigo Herrera
260550,394590,D & L AUTO TRANS LLC,82.14,225,4/24/2026 12:19,Rodrigo Herrera
265581,403813,DAJANI AUTO HAULERS INC,25,95,4/24/2026 12:24,Liza Kolodii
265581,403817,DAJANI AUTO HAULERS INC,25,95,4/24/2026 12:24,Liza Kolodii
265581,404050,DAJANI AUTO HAULERS INC,25,95,4/24/2026 12:24,Liza Kolodii
265581,404067,DAJANI AUTO HAULERS INC,25,95,4/24/2026 12:24,Liza Kolodii
265232,403140,DAJANI AUTO HAULERS INC,25,95,4/24/2026 12:25,Liza Kolodii
265232,403153,DAJANI AUTO HAULERS INC,25,95,4/24/2026 12:25,Liza Kolodii
265232,403160,DAJANI AUTO HAULERS INC,25,95,4/24/2026 12:25,Liza Kolodii
265232,403167,DAJANI AUTO HAULERS INC,25,95,4/24/2026 12:25,Liza Kolodii
261584,396318,GQ LINE LLC,-350,1550,4/24/2026 12:28,Illia Kovanko
264207,395815,SOTO TOWING & TRANSPORTS LLC,70,350,4/24/2026 12:39,Tyson Artis
265773,403897,SMTE LLC,40,120,4/24/2026 12:46,Tyson Artis
265773,403913,SMTE LLC,40,120,4/24/2026 12:46,Tyson Artis
265773,403920,SMTE LLC,40,120,4/24/2026 12:46,Tyson Artis
265754,404235,PRONTO TRUCKING LOGISTICS LLC,-35,240,4/24/2026 12:47,Rodrigo Herrera
265754,404274,PRONTO TRUCKING LOGISTICS LLC,75,350,4/24/2026 12:47,Rodrigo Herrera
263279,399820,INEVITABLE TRANSPORTATION LLC,-17.5,170,4/24/2026 12:53,Rodrigo Herrera
263279,400157,INEVITABLE TRANSPORTATION LLC,-17.5,170,4/24/2026 12:53,Rodrigo Herrera
